subj_ID, TR_censored, censor_fraction, TR_total_origin, TR_total_censored, template_dice_coef, EPI_dice_coef
m06A,    0, 0.0000, 1300, 1300, 0.9391, 0.6819
m04A,    0, 0.0000, 1312, 1312, 0.9262, 0.7770
m03A,    0, 0.0000, 1312, 1312, 0.9349, 0.7840
m08A,    2, 0.0015, 1300, 1298, 0.9255, 0.7844
m05A,    2, 0.0015, 1300, 1298, 0.9363, 0.7854
m02A,    0, 0.0000, 1272, 1272, 0.9389, 0.7860
m16A,   23, 0.0177, 1300, 1277, 0.9416, 0.7875
m10A,    0, 0.0000, 1300, 1300, 0.9307, 0.7924
m09A,    8, 0.0062, 1300, 1292, 0.9461, 0.7957
m07A,    8, 0.0062, 1300, 1292, 0.9312, 0.7987
m01A,    0, 0.0000, 1272, 1272, 0.9230, 0.7989
