,Trials,ProbR,ID,role,cond,reward,choise,partner.choise,sender.dec,receiver.dec,phase,onset,state,event,image_name
1,1,25,s35B,receiver,coop,100,1,1,truth,trust,1,0.0017,waiting,1,s35B+beta+event_001+tlrc
2,1,25,s35B,receiver,coop,100,1,1,truth,trust,2,7.0017,active,2,s35B+beta+event_002+tlrc
3,1,25,s35B,receiver,coop,100,1,1,truth,trust,FB,14.0017,feedback,3,s35B+beta+event_003+tlrc
4,2,30,s35B,receiver,comp,0,2,1,truth,doubt,1,23.1103,waiting,4,s35B+beta+event_004+tlrc
5,2,30,s35B,receiver,comp,0,2,1,truth,doubt,2,30.1103,active,5,s35B+beta+event_005+tlrc
6,2,30,s35B,receiver,comp,0,2,1,truth,doubt,FB,37.1103,feedback,6,s35B+beta+event_006+tlrc
7,3,10,s35B,sender,coop,0,1,1,truth,trust,1,46.1515,active,7,s35B+beta+event_007+tlrc
8,3,10,s35B,sender,coop,0,1,1,truth,trust,2,53.1515,waiting,8,s35B+beta+event_008+tlrc
9,3,10,s35B,sender,coop,0,1,1,truth,trust,FB,60.1515,feedback,9,s35B+beta+event_009+tlrc
10,4,20,s35B,sender,comp,0,1,1,truth,trust,1,69.1704,active,10,s35B+beta+event_010+tlrc
11,4,20,s35B,sender,comp,0,1,1,truth,trust,2,76.1704,waiting,11,s35B+beta+event_011+tlrc
12,4,20,s35B,sender,comp,0,1,1,truth,trust,FB,83.1704,feedback,12,s35B+beta+event_012+tlrc
13,5,75,s35B,receiver,coop,100,2,2,truth,trust,1,90.1869,waiting,13,s35B+beta+event_013+tlrc
14,5,75,s35B,receiver,coop,100,2,2,truth,trust,2,97.1869,active,14,s35B+beta+event_014+tlrc
15,5,75,s35B,receiver,coop,100,2,2,truth,trust,FB,104.1869,feedback,15,s35B+beta+event_015+tlrc
16,6,85,s35B,receiver,comp,150,2,2,truth,trust,1,113.2057,waiting,16,s35B+beta+event_016+tlrc
17,6,85,s35B,receiver,comp,150,2,2,truth,trust,2,120.2057,active,17,s35B+beta+event_017+tlrc
18,6,85,s35B,receiver,comp,150,2,2,truth,trust,FB,127.2057,feedback,18,s35B+beta+event_018+tlrc
19,7,65,s35B,sender,coop,0,2,2,truth,trust,1,133.2248,active,19,s35B+beta+event_019+tlrc
20,7,65,s35B,sender,coop,0,2,2,truth,trust,2,140.2248,waiting,20,s35B+beta+event_020+tlrc
21,7,65,s35B,sender,coop,0,2,2,truth,trust,FB,147.2248,feedback,21,s35B+beta+event_021+tlrc
22,8,85,s35B,sender,comp,150,1,1,lie,trust,1,157.242,active,22,s35B+beta+event_022+tlrc
23,8,85,s35B,sender,comp,150,1,1,lie,trust,2,164.242,waiting,23,s35B+beta+event_023+tlrc
24,8,85,s35B,sender,comp,150,1,1,lie,trust,FB,171.242,feedback,24,s35B+beta+event_024+tlrc
25,9,70,s35B,receiver,coop,0,2,2,truth,trust,1,182.2594,waiting,25,s35B+beta+event_025+tlrc
26,9,70,s35B,receiver,coop,0,2,2,truth,trust,2,189.2594,active,26,s35B+beta+event_026+tlrc
27,9,70,s35B,receiver,coop,0,2,2,truth,trust,FB,196.2594,feedback,27,s35B+beta+event_027+tlrc
28,10,15,s35B,receiver,comp,0,2,1,truth,doubt,1,205.2766,waiting,28,s35B+beta+event_028+tlrc
29,10,15,s35B,receiver,comp,0,2,1,truth,doubt,2,212.2766,active,29,s35B+beta+event_029+tlrc
30,10,15,s35B,receiver,comp,0,2,1,truth,doubt,FB,219.2766,feedback,30,s35B+beta+event_030+tlrc
31,11,60,s35B,sender,coop,100,2,2,truth,trust,1,228.294,active,31,s35B+beta+event_031+tlrc
32,11,60,s35B,sender,coop,100,2,2,truth,trust,2,235.294,waiting,32,s35B+beta+event_032+tlrc
33,11,60,s35B,sender,coop,100,2,2,truth,trust,FB,242.294,feedback,33,s35B+beta+event_033+tlrc
34,12,20,s35B,sender,comp,0,2,1,lie,doubt,1,251.3132,active,34,s35B+beta+event_034+tlrc
35,12,20,s35B,sender,comp,0,2,1,lie,doubt,2,258.3132,waiting,35,s35B+beta+event_035+tlrc
36,12,20,s35B,sender,comp,0,2,1,lie,doubt,FB,265.3132,feedback,36,s35B+beta+event_036+tlrc
37,13,80,s35B,receiver,coop,100,2,2,truth,trust,1,275.3305,waiting,37,s35B+beta+event_037+tlrc
38,13,80,s35B,receiver,coop,100,2,2,truth,trust,2,282.3305,active,38,s35B+beta+event_038+tlrc
39,13,80,s35B,receiver,coop,100,2,2,truth,trust,FB,289.3305,feedback,39,s35B+beta+event_039+tlrc
40,14,40,s35B,receiver,comp,0,1,1,truth,trust,1,299.3483,waiting,40,s35B+beta+event_040+tlrc
41,14,40,s35B,receiver,comp,0,1,1,truth,trust,2,306.3483,active,41,s35B+beta+event_041+tlrc
42,14,40,s35B,receiver,comp,0,1,1,truth,trust,FB,313.3483,feedback,42,s35B+beta+event_042+tlrc
43,15,30,s35B,sender,coop,100,1,1,truth,trust,1,320.3677,active,43,s35B+beta+event_043+tlrc
44,15,30,s35B,sender,coop,100,1,1,truth,trust,2,327.3677,waiting,44,s35B+beta+event_044+tlrc
45,15,30,s35B,sender,coop,100,1,1,truth,trust,FB,334.3677,feedback,45,s35B+beta+event_045+tlrc
46,16,10,s35B,sender,comp,150,1,2,truth,doubt,1,345.3848,active,46,s35B+beta+event_046+tlrc
47,16,10,s35B,sender,comp,150,1,2,truth,doubt,2,352.3848,waiting,47,s35B+beta+event_047+tlrc
48,16,10,s35B,sender,comp,150,1,2,truth,doubt,FB,359.3848,feedback,48,s35B+beta+event_048+tlrc
49,17,80,s35B,receiver,coop,0,1,1,lie,trust,1,369.4046,waiting,49,s35B+beta+event_049+tlrc
50,17,80,s35B,receiver,coop,0,1,1,lie,trust,2,376.4046,active,50,s35B+beta+event_050+tlrc
51,17,80,s35B,receiver,coop,0,1,1,lie,trust,FB,383.4046,feedback,51,s35B+beta+event_051+tlrc
52,18,75,s35B,receiver,comp,0,1,2,truth,doubt,1,388.422,waiting,52,s35B+beta+event_052+tlrc
53,18,75,s35B,receiver,comp,0,1,2,truth,doubt,2,395.422,active,53,s35B+beta+event_053+tlrc
54,18,75,s35B,receiver,comp,0,1,2,truth,doubt,FB,402.422,feedback,54,s35B+beta+event_054+tlrc
55,19,65,s35B,sender,coop,0,2,2,truth,trust,1,410.4398,active,55,s35B+beta+event_055+tlrc
56,19,65,s35B,sender,coop,0,2,2,truth,trust,2,417.4398,waiting,56,s35B+beta+event_056+tlrc
57,19,65,s35B,sender,coop,0,2,2,truth,trust,FB,424.4398,feedback,57,s35B+beta+event_057+tlrc
58,20,60,s35B,sender,comp,150,1,1,lie,trust,1,434.4593,active,58,s35B+beta+event_058+tlrc
59,20,60,s35B,sender,comp,150,1,1,lie,trust,2,441.4593,waiting,59,s35B+beta+event_059+tlrc
60,20,60,s35B,sender,comp,150,1,1,lie,trust,FB,448.4593,feedback,60,s35B+beta+event_060+tlrc
61,21,90,s35B,receiver,coop,100,2,2,truth,trust,1,455.478,waiting,61,s35B+beta+event_061+tlrc
62,21,90,s35B,receiver,coop,100,2,2,truth,trust,2,462.478,active,62,s35B+beta+event_062+tlrc
63,21,90,s35B,receiver,coop,100,2,2,truth,trust,FB,469.478,feedback,63,s35B+beta+event_063+tlrc
64,22,90,s35B,receiver,comp,150,2,2,truth,trust,1,477.4956,waiting,64,s35B+beta+event_064+tlrc
65,22,90,s35B,receiver,comp,150,2,2,truth,trust,2,484.4956,active,65,s35B+beta+event_065+tlrc
66,22,90,s35B,receiver,comp,150,2,2,truth,trust,FB,491.4956,feedback,66,s35B+beta+event_066+tlrc
67,23,15,s35B,sender,coop,100,1,1,truth,trust,1,499.5153,active,67,s35B+beta+event_067+tlrc
68,23,15,s35B,sender,coop,100,1,1,truth,trust,2,506.5153,waiting,68,s35B+beta+event_068+tlrc
69,23,15,s35B,sender,coop,100,1,1,truth,trust,FB,513.5153,feedback,69,s35B+beta+event_069+tlrc
70,24,25,s35B,sender,comp,0,1,1,truth,trust,1,521.5333,active,70,s35B+beta+event_070+tlrc
71,24,25,s35B,sender,comp,0,1,1,truth,trust,2,528.5333,waiting,71,s35B+beta+event_071+tlrc
72,24,25,s35B,sender,comp,0,1,1,truth,trust,FB,535.5333,feedback,72,s35B+beta+event_072+tlrc
73,25,70,s35B,receiver,coop,100,2,2,truth,trust,1,543.5515,waiting,73,s35B+beta+event_073+tlrc
74,25,70,s35B,receiver,coop,100,2,2,truth,trust,2,550.5515,active,74,s35B+beta+event_074+tlrc
75,25,70,s35B,receiver,coop,100,2,2,truth,trust,FB,557.5515,feedback,75,s35B+beta+event_075+tlrc
76,26,35,s35B,receiver,comp,0,2,1,truth,doubt,1,563.571,waiting,76,s35B+beta+event_076+tlrc
77,26,35,s35B,receiver,comp,0,2,1,truth,doubt,2,570.571,active,77,s35B+beta+event_077+tlrc
78,26,35,s35B,receiver,comp,0,2,1,truth,doubt,FB,577.571,feedback,78,s35B+beta+event_078+tlrc
79,27,40,s35B,sender,coop,100,1,1,truth,trust,1,583.5891,active,79,s35B+beta+event_079+tlrc
80,27,40,s35B,sender,coop,100,1,1,truth,trust,2,590.5891,waiting,80,s35B+beta+event_080+tlrc
81,27,40,s35B,sender,coop,100,1,1,truth,trust,FB,597.5891,feedback,81,s35B+beta+event_081+tlrc
82,28,35,s35B,sender,comp,150,1,1,truth,trust,1,604.6079,active,82,s35B+beta+event_082+tlrc
83,28,35,s35B,sender,comp,150,1,1,truth,trust,2,611.6079,waiting,83,s35B+beta+event_083+tlrc
84,28,35,s35B,sender,comp,150,1,1,truth,trust,FB,618.6079,feedback,84,s35B+beta+event_084+tlrc
85,29,40,s35B,receiver,coop,100,1,1,truth,trust,1,650.0002,waiting,85,s35B+beta+event_085+tlrc
86,29,40,s35B,receiver,coop,100,1,1,truth,trust,2,657.0002,active,86,s35B+beta+event_086+tlrc
87,29,40,s35B,receiver,coop,100,1,1,truth,trust,FB,664.0002,feedback,87,s35B+beta+event_087+tlrc
88,30,60,s35B,receiver,comp,0,1,2,truth,doubt,1,670.0233,waiting,88,s35B+beta+event_088+tlrc
89,30,60,s35B,receiver,comp,0,1,2,truth,doubt,2,677.0233,active,89,s35B+beta+event_089+tlrc
90,30,60,s35B,receiver,comp,0,1,2,truth,doubt,FB,684.0233,feedback,90,s35B+beta+event_090+tlrc
91,31,40,s35B,sender,coop,0,1,1,truth,trust,1,690.0435,active,91,s35B+beta+event_091+tlrc
92,31,40,s35B,sender,coop,0,1,1,truth,trust,2,697.0435,waiting,92,s35B+beta+event_092+tlrc
93,31,40,s35B,sender,coop,0,1,1,truth,trust,FB,704.0435,feedback,93,s35B+beta+event_093+tlrc
94,32,70,s35B,sender,comp,150,2,1,truth,doubt,1,714.0637,active,94,s35B+beta+event_094+tlrc
95,32,70,s35B,sender,comp,150,2,1,truth,doubt,2,721.0637,waiting,95,s35B+beta+event_095+tlrc
96,32,70,s35B,sender,comp,150,2,1,truth,doubt,FB,728.0637,feedback,96,s35B+beta+event_096+tlrc
97,33,10,s35B,receiver,coop,100,1,1,truth,trust,1,736.0865,waiting,97,s35B+beta+event_097+tlrc
98,33,10,s35B,receiver,coop,100,1,1,truth,trust,2,743.0865,active,98,s35B+beta+event_098+tlrc
99,33,10,s35B,receiver,coop,100,1,1,truth,trust,FB,750.0865,feedback,99,s35B+beta+event_099+tlrc
100,34,25,s35B,receiver,comp,150,1,2,lie,doubt,1,757.1257,waiting,100,s35B+beta+event_100+tlrc
101,34,25,s35B,receiver,comp,150,1,2,lie,doubt,2,764.1257,active,101,s35B+beta+event_101+tlrc
102,34,25,s35B,receiver,comp,150,1,2,lie,doubt,FB,771.1257,feedback,102,s35B+beta+event_102+tlrc
103,35,70,s35B,sender,coop,100,2,2,truth,trust,1,783.1435,active,103,s35B+beta+event_103+tlrc
104,35,70,s35B,sender,coop,100,2,2,truth,trust,2,790.1435,waiting,104,s35B+beta+event_104+tlrc
105,35,70,s35B,sender,coop,100,2,2,truth,trust,FB,797.1435,feedback,105,s35B+beta+event_105+tlrc
106,36,35,s35B,sender,comp,0,1,1,truth,trust,1,805.1631,active,106,s35B+beta+event_106+tlrc
107,36,35,s35B,sender,comp,0,1,1,truth,trust,2,812.1631,waiting,107,s35B+beta+event_107+tlrc
108,36,35,s35B,sender,comp,0,1,1,truth,trust,FB,819.1631,feedback,108,s35B+beta+event_108+tlrc
109,37,20,s35B,receiver,coop,100,1,1,truth,trust,1,827.1801,waiting,109,s35B+beta+event_109+tlrc
110,37,20,s35B,receiver,coop,100,1,1,truth,trust,2,834.1801,active,110,s35B+beta+event_110+tlrc
111,37,20,s35B,receiver,coop,100,1,1,truth,trust,FB,841.1801,feedback,111,s35B+beta+event_111+tlrc
112,38,80,s35B,receiver,comp,150,2,2,truth,trust,1,850.1994,waiting,112,s35B+beta+event_112+tlrc
113,38,80,s35B,receiver,comp,150,2,2,truth,trust,2,857.1994,active,113,s35B+beta+event_113+tlrc
114,38,80,s35B,receiver,comp,150,2,2,truth,trust,FB,864.1994,feedback,114,s35B+beta+event_114+tlrc
115,39,90,s35B,sender,coop,100,2,2,truth,trust,1,872.2173,active,115,s35B+beta+event_115+tlrc
116,39,90,s35B,sender,coop,100,2,2,truth,trust,2,879.2173,waiting,116,s35B+beta+event_116+tlrc
117,39,90,s35B,sender,coop,100,2,2,truth,trust,FB,886.2173,feedback,117,s35B+beta+event_117+tlrc
118,40,30,s35B,sender,comp,150,1,1,truth,trust,1,893.2344,active,118,s35B+beta+event_118+tlrc
119,40,30,s35B,sender,comp,150,1,1,truth,trust,2,900.2344,waiting,119,s35B+beta+event_119+tlrc
120,40,30,s35B,sender,comp,150,1,1,truth,trust,FB,907.2344,feedback,120,s35B+beta+event_120+tlrc
121,41,75,s35B,receiver,coop,0,2,2,truth,trust,1,916.254,waiting,121,s35B+beta+event_121+tlrc
122,41,75,s35B,receiver,coop,0,2,2,truth,trust,2,923.254,active,122,s35B+beta+event_122+tlrc
123,41,75,s35B,receiver,coop,0,2,2,truth,trust,FB,930.254,feedback,123,s35B+beta+event_123+tlrc
124,42,85,s35B,receiver,comp,150,2,1,lie,doubt,1,941.2723,waiting,124,s35B+beta+event_124+tlrc
125,42,85,s35B,receiver,comp,150,2,1,lie,doubt,2,948.2723,active,125,s35B+beta+event_125+tlrc
126,42,85,s35B,receiver,comp,150,2,1,lie,doubt,FB,955.2723,feedback,126,s35B+beta+event_126+tlrc
127,43,10,s35B,sender,coop,100,1,1,truth,trust,1,962.2899,active,127,s35B+beta+event_127+tlrc
128,43,10,s35B,sender,coop,100,1,1,truth,trust,2,969.2899,waiting,128,s35B+beta+event_128+tlrc
129,43,10,s35B,sender,coop,100,1,1,truth,trust,FB,976.2899,feedback,129,s35B+beta+event_129+tlrc
130,44,85,s35B,sender,comp,150,2,2,truth,trust,1,984.3094,active,130,s35B+beta+event_130+tlrc
