"","Trials","ProbR","ID","role","cond","reward","choise","partner.choise","sender.dec","receiver.dec","phase","onset","state","event","image_name"
"1",1,25,"s53A","sender","coop",100,1,1,"truth","trust","1",0,"active",1,"s53A+beta+event_001+tlrc"
"2",1,25,"s53A","sender","coop",100,1,1,"truth","trust","2",7,"waiting",2,"s53A+beta+event_002+tlrc"
"3",1,25,"s53A","sender","coop",100,1,1,"truth","trust","FB",14,"feedback",3,"s53A+beta+event_003+tlrc"
"4",2,30,"s53A","sender","comp",150,2,2,"lie","trust","1",23.007,"active",4,"s53A+beta+event_004+tlrc"
"5",2,30,"s53A","sender","comp",150,2,2,"lie","trust","2",30.007,"waiting",5,"s53A+beta+event_005+tlrc"
"6",2,30,"s53A","sender","comp",150,2,2,"lie","trust","FB",37.007,"feedback",6,"s53A+beta+event_006+tlrc"
"7",3,10,"s53A","receiver","coop",0,2,1,"truth","doubt","1",46.0127,"waiting",7,"s53A+beta+event_007+tlrc"
"8",3,10,"s53A","receiver","coop",0,2,1,"truth","doubt","2",53.0127,"active",8,"s53A+beta+event_008+tlrc"
"9",3,10,"s53A","receiver","coop",0,2,1,"truth","doubt","FB",60.0127,"feedback",9,"s53A+beta+event_009+tlrc"
"10",4,20,"s53A","receiver","comp",0,2,1,"truth","doubt","1",69.0184,"waiting",10,"s53A+beta+event_010+tlrc"
"11",4,20,"s53A","receiver","comp",0,2,1,"truth","doubt","2",76.0184,"active",11,"s53A+beta+event_011+tlrc"
"12",4,20,"s53A","receiver","comp",0,2,1,"truth","doubt","FB",83.0184,"feedback",12,"s53A+beta+event_012+tlrc"
"13",5,75,"s53A","sender","coop",100,2,2,"truth","trust","1",90.0247,"active",13,"s53A+beta+event_013+tlrc"
"14",5,75,"s53A","sender","coop",100,2,2,"truth","trust","2",97.0247,"waiting",14,"s53A+beta+event_014+tlrc"
"15",5,75,"s53A","sender","coop",100,2,2,"truth","trust","FB",104.0247,"feedback",15,"s53A+beta+event_015+tlrc"
"16",6,85,"s53A","sender","comp",150,1,1,"lie","trust","1",113.0348,"active",16,"s53A+beta+event_016+tlrc"
"17",6,85,"s53A","sender","comp",150,1,1,"lie","trust","2",120.0348,"waiting",17,"s53A+beta+event_017+tlrc"
"18",6,85,"s53A","sender","comp",150,1,1,"lie","trust","FB",127.0348,"feedback",18,"s53A+beta+event_018+tlrc"
"19",7,65,"s53A","receiver","coop",0,2,2,"truth","trust","1",133.0398,"waiting",19,"s53A+beta+event_019+tlrc"
"20",7,65,"s53A","receiver","coop",0,2,2,"truth","trust","2",140.0398,"active",20,"s53A+beta+event_020+tlrc"
"21",7,65,"s53A","receiver","coop",0,2,2,"truth","trust","FB",147.0398,"feedback",21,"s53A+beta+event_021+tlrc"
"22",8,85,"s53A","receiver","comp",0,1,2,"truth","doubt","1",157.0451,"waiting",22,"s53A+beta+event_022+tlrc"
"23",8,85,"s53A","receiver","comp",0,1,2,"truth","doubt","2",164.0451,"active",23,"s53A+beta+event_023+tlrc"
"24",8,85,"s53A","receiver","comp",0,1,2,"truth","doubt","FB",171.0451,"feedback",24,"s53A+beta+event_024+tlrc"
"25",9,70,"s53A","sender","coop",0,2,2,"truth","trust","1",182.0502,"active",25,"s53A+beta+event_025+tlrc"
