Epoch 1, Validation Loss: 2.998, Validation Accuracy: 0.173
Epoch 2, Validation Loss: 2.675, Validation Accuracy: 0.289
Epoch 3, Validation Loss: 2.254, Validation Accuracy: 0.340
Epoch 4, Validation Loss: 1.980, Validation Accuracy: 0.416
Epoch 5, Validation Loss: 1.621, Validation Accuracy: 0.520
Epoch 6, Validation Loss: 1.458, Validation Accuracy: 0.567
Epoch 7, Validation Loss: 1.356, Validation Accuracy: 0.620
Epoch 8, Validation Loss: 1.455, Validation Accuracy: 0.580
Epoch 9, Validation Loss: 1.331, Validation Accuracy: 0.618
Epoch 10, Validation Loss: 3.020, Validation Accuracy: 0.531
Epoch 11, Validation Loss: 1.558, Validation Accuracy: 0.624
Epoch 12, Validation Loss: 1.517, Validation Accuracy: 0.613
Epoch 13, Validation Loss: 1.566, Validation Accuracy: 0.624
Epoch 14, Validation Loss: 1.701, Validation Accuracy: 0.618
Epoch 15, Validation Loss: 1.647, Validation Accuracy: 0.616
Epoch 16, Validation Loss: 1.830, Validation Accuracy: 0.602
Epoch 17, Validation Loss: 1.737, Validation Accuracy: 0.609
Epoch 18, Validation Loss: 1.955, Validation Accuracy: 0.618
Epoch 19, Validation Loss: 1.935, Validation Accuracy: 0.613
Epoch 20, Validation Loss: 1.806, Validation Accuracy: 0.618
Epoch 21, Validation Loss: 1.948, Validation Accuracy: 0.604
Epoch 22, Validation Loss: 2.076, Validation Accuracy: 0.582
Epoch 23, Validation Loss: 2.056, Validation Accuracy: 0.600
Epoch 24, Validation Loss: 2.236, Validation Accuracy: 0.576
Epoch 25, Validation Loss: 2.200, Validation Accuracy: 0.587
Epoch 26, Validation Loss: 2.274, Validation Accuracy: 0.616
Epoch 27, Validation Loss: 2.119, Validation Accuracy: 0.611
Epoch 28, Validation Loss: 2.157, Validation Accuracy: 0.616
Epoch 29, Validation Loss: 2.000, Validation Accuracy: 0.629
Epoch 30, Validation Loss: 2.359, Validation Accuracy: 0.580
